Spectra_Filepath	Sample	Fraction	Fraction_Group	Label
B02_06_161103_A1_HCD_OT_4ul.mzML	A1	1	1	1
B02_07_161103_A2_HCD_OT_4ul.mzML	A2	1	2	1
B02_16_161103_A3_HCD_OT_4ul.mzML	A3	1	3	1
B02_17_161103_A4_HCD_OT_4ul.mzML	A4	1	4	1
B02_08_161103_B2_HCD_OT_4ul.mzML	B2	1	5	1
B02_15_161103_B3_HCD_OT_4ul.mzML	B3	1	6	1
B02_18_161103_B4_HCD_OT_4ul.mzML	B4	1	7	1
B02_001_161103_B1_HCD_OT_4ul.mzML	B1	1	8	1
B02_09_161103_C2_HCD_OT_4ul.mzML	C2	1	9	1
B02_14_161103_C3_HCD_OT_4ul.mzML	C3	1	10	1
B02_19_161103_C4_HCD_OT_4ul.mzML	C4	1	11	1
B02_24_161103_C1_HCD_OT_4ul.mzML	C1	1	12	1
B02_11_161103_D2_HCD_OT_4ul.mzML	D2	1	13	1
B02_12_161103_D3_HCD_OT_4ul.mzML	D3	1	14	1
B02_21_161103_D4_HCD_OT_4ul.mzML	D4	1	15	1
B02_22_161103_D1_HCD_OT_4ul.mzML	D1	1	16	1
B02_10_161103_E2_HCD_OT_4ul.mzML	E2	1	17	1
B02_13_161103_E3_HCD_OT_4ul.mzML	E3	1	18	1
B02_20_161103_E4_HCD_OT_4ul.mzML	E4	1	19	1
B02_23_161103_E1_HCD_OT_4ul.mzML	E1	1	20	1